label,std,mean,min,max
2,0.741477867984566,26.00390625,25.0,28.5
2,0.7695609924455306,25.7109375,24.0,28.25
2,0.6741875173820338,25.2265625,24.0,27.25
2,0.7190471532477895,25.6015625,24.75,28.25
2,0.7602550038628075,26.11328125,24.75,28.25
2,0.5753602599336676,25.99609375,24.75,28.0
2,0.68052884350036,25.97265625,24.75,27.75
2,0.8372142702886759,25.984375,24.75,28.25
2,0.8376151390070203,26.0390625,24.75,28.5
2,0.6428007070806919,25.79296875,24.75,27.75
2,0.7222972081047645,26.22265625,25.25,28.75
2,0.7233210624439191,26.078125,24.75,28.5
2,0.6860335923580929,26.1171875,24.75,28.0
2,0.7244909143398125,25.94140625,24.75,28.0
2,0.74111764996777,26.5390625,25.5,28.75
2,0.6743119866007407,26.39453125,25.25,28.5
2,0.8220591523728691,25.6875,24.0,28.0
2,0.7663819599871529,25.7265625,23.75,28.0
2,0.5684231332365332,26.26171875,25.25,27.75
2,0.6966608240104631,25.74609375,24.5,28.25
2,0.6392420285727074,25.7109375,24.5,27.5
2,0.6415294682193095,25.9765625,25.0,27.75
2,0.6249511699675023,25.4921875,24.0,27.75
2,0.6348707845585095,26.08984375,25.0,28.0
2,0.5531862386650969,26.07421875,25.25,27.5
2,0.6341132464907195,25.609375,24.5,27.5
2,0.54102620138579,25.96484375,25.25,28.0
2,0.6505988077100587,26.1484375,25.0,28.25
2,0.6299486702489636,25.69921875,24.75,27.5
2,0.6095252218684227,25.9140625,25.0,27.75
2,0.5132521158017763,25.734375,25.0,27.5
2,0.6284936534770558,25.93359375,25.0,27.75
2,0.676040864149498,25.75,24.75,27.75
2,0.5807452235261497,25.82421875,24.75,27.5
3,0.8166585286052855,26.1953125,25.25,28.75
3,0.7904149918713587,26.421875,25.0,28.75
3,0.7459198913925007,26.265625,25.25,29.0
3,0.6859001271139991,26.703125,25.25,28.75
3,0.8308842592947288,26.4453125,25.25,29.25
3,0.7792063113103855,26.53515625,25.25,28.5
3,0.6417672743097765,26.546875,25.5,28.5
3,0.7740192729906262,26.44140625,25.25,29.0
3,0.8147504890302306,26.484375,25.25,29.0
3,0.650833299989329,26.328125,25.5,28.25
3,0.7302075903467452,26.0625,24.25,28.0
3,0.6260611109535853,26.42578125,25.25,28.25
3,0.7954855380275229,26.37890625,25.25,28.75
3,0.7027776920015318,25.765625,24.5,27.75
3,0.6639705818737378,25.7734375,24.5,27.5
3,0.6835379441506887,25.9140625,24.75,28.25
3,0.604838381531329,25.76953125,24.5,27.75
3,0.5998351824407685,25.9140625,24.75,27.25
3,0.7318357029373123,25.5859375,24.5,27.75
3,0.5982049156382367,26.0859375,25.25,28.0
3,0.6265483749966458,26.12890625,24.75,27.75
3,0.6795976952166259,25.8046875,24.5,28.0
3,0.6155412181251045,25.87109375,24.75,28.0
3,0.5830527947994397,25.66796875,24.25,27.75
3,0.6480020186781346,25.87890625,24.25,28.0
3,0.7119241093684073,25.96875,24.75,28.25
3,0.6630852183814215,25.72265625,24.0,27.5
3,0.5998351824407685,25.5859375,24.5,28.0
3,0.5963015692780269,25.58203125,24.25,27.25
3,0.6071172115775915,25.6484375,25.0,27.75
3,0.6208726021382628,25.83984375,25.0,27.75
3,0.6961349594984707,26.27734375,24.5,28.5
3,0.59764348434079,26.046875,24.25,27.25
3,0.5439514488545255,25.49609375,24.5,27.0
3,0.6194578495295301,25.4296875,24.5,27.0
3,0.602006228392562,26.04296875,25.0,27.75
3,0.6465876286501602,25.83203125,25.0,28.25
3,0.6206759601119876,25.68359375,24.5,27.5
3,0.7711752743124857,25.99609375,24.75,28.0
3,0.810356246408794,26.2890625,24.75,28.5
3,0.708787959190723,26.3359375,25.0,28.25
3,0.741477867984566,26.00390625,25.0,28.5
3,0.7695609924455306,25.7109375,24.0,28.25
3,0.6741875173820338,25.2265625,24.0,27.25
3,0.7190471532477895,25.6015625,24.75,28.25
3,0.7602550038628075,26.11328125,24.75,28.25
3,0.5753602599336676,25.99609375,24.75,28.0
3,0.68052884350036,25.97265625,24.75,27.75
3,0.8372142702886759,25.984375,24.75,28.25
3,0.8376151390070203,26.0390625,24.75,28.5
3,0.6428007070806919,25.79296875,24.75,27.75
3,0.7222972081047645,26.22265625,25.25,28.75
3,0.7233210624439191,26.078125,24.75,28.5
3,0.6860335923580929,26.1171875,24.75,28.0
3,0.7244909143398125,25.94140625,24.75,28.0
3,0.74111764996777,26.5390625,25.5,28.75
3,0.6743119866007407,26.39453125,25.25,28.5
3,0.8220591523728691,25.6875,24.0,28.0
3,0.7663819599871529,25.7265625,23.75,28.0
3,0.5684231332365332,26.26171875,25.25,27.75
3,0.6966608240104631,25.74609375,24.5,28.25
3,0.6392420285727074,25.7109375,24.5,27.5
3,0.6415294682193095,25.9765625,25.0,27.75
